# Databricks SQL - Concept & Architecture Flashcards
# Format: Question | Answer

What are the benefits of OPTIMIZE? | Improves query performance by: 1) Compacting small files through bin-packing, 2) Reducing file I/O overhead, 3) Enabling better data skipping with Z-ordering, 4) Improving caching efficiency.

What is the difference between bin-packing and Z-ordering? | Bin-packing consolidates small files into larger ones (idempotent operation). Z-ordering collocates related data by specific columns for data skipping (incremental operation).

When should you use liquid clustering vs ZORDER? | Liquid clustering: Dynamic workloads with changing query patterns, automatic management. ZORDER: Static query patterns with known access patterns, manual control over layout.

What are the trade-offs of Time Travel? | Benefits: Query historical data, audit changes, recover from mistakes. Trade-offs: Requires storage for old files, VACUUM needed to reclaim space, performance impact on very old versions.

How does data skipping improve performance? | Stores min/max statistics for columns. During queries, skips entire files where statistics prove no relevant data exists, reducing I/O and processing time dramatically.

What statistics does Delta Lake collect by default? | First 32 columns (by table order): min/max values, null counts, row counts per file. Used for data skipping and query optimization.

When should you customize dataSkippingStatsColumns? | When: 1) Important columns are beyond the 32nd column, 2) Query patterns focus on specific columns, 3) Need to optimize specific predicates, 4) Reduce statistics overhead.

What is the purpose of row tracking? | Enables: 1) Change Data Capture (CDC), 2) Incremental processing, 3) Row-level lineage, 4) Fine-grained updates tracking across versions.

How does VACUUM impact Time Travel? | VACUUM permanently deletes old data files, making those versions unavailable for Time Travel queries. Default retention is 7 days.

What is the relationship between versions and timestamps? | Each Delta operation creates a new version with a timestamp. You can query by either: version number (absolute) or timestamp (point-in-time).

What are SQL Warehouse sizing considerations? | Factors: 1) Concurrent users/queries, 2) Query complexity, 3) Data volume, 4) Performance SLAs, 5) Cost budget. Sizes: X-Small to 4X-Large.

What's the difference between CLASSIC and PRO warehouses? | PRO: Enhanced performance, better scaling, more features, higher cost. CLASSIC: Standard performance, basic features, lower cost. PRO recommended for production workloads.

When should you enable Photon? | Enable for: 1) Large-scale data processing, 2) Complex queries, 3) Performance-critical workloads. Provides significant speedup on compatible operations.

What is serverless compute? | Databricks manages infrastructure completely. Benefits: Instant startup, automatic scaling, no resource management, pay-per-second billing. Limitations: Cold starts, less control.

How does autoscaling work for SQL warehouses? | Automatically adds clusters (up to max_num_clusters) when queries queue. Removes clusters when idle. Maintains minimum (min_num_clusters) for faster response.

What is the purpose of auto_stop_mins? | Automatically stops warehouse after specified idle time to reduce costs. Balances availability vs cost. Typical values: 10-60 minutes.

When should you use spot instances? | Use COST_OPTIMIZED for: Non-critical workloads, batch processing, development/testing. Use RELIABILITY_OPTIMIZED for: Production, low-latency, interactive queries.

What is schema evolution in Delta Lake? | Ability to modify table schema over time: ADD COLUMNS (append), REPLACE COLUMNS (restructure), ALTER COLUMN (modify types/comments), supporting forward/backward compatibility.

How does CONVERT TO DELTA preserve data? | In-place conversion: No data movement, preserves partitioning, maintains file structure, creates Delta metadata, enables immediate Delta features.

What is the difference between CLONE and CONVERT? | CONVERT: In-place transformation (Parquet/Iceberg → Delta). CLONE: Creates new table copy (SHALLOW references, DEEP copies). Use CONVERT for migration, CLONE for copies.

